,SA2_CODE21,SA2_code,SA2_name,population,IRSD_score,IRSD_Australia_rank,IRSD_Australia_decile,IRSD_Australia_percentile,State,IRSD_State_Rank,IRSD_State_decile,IRSD_State_percentile,IRSD_MinScoreForSA1_inArea,IRSD_MaxScoreForSA1_inArea,IRSD_Usual Resident Population without an SA1 level score,IRSAD_score,IRSAD_Australia_rank,IRSAD_Australia_decile,IRSAD_Australia_percentile,IRSAD_State_Rank,IRSAD_State_decile,IRSAD_State_percentile,IRSAD_MinScoreForSA1_inArea,IRSAD_MaxScoreForSA1_inArea,IRSAD_Usual Resident Population without an SA1 level score,IER_score,IER_Australia_rank,IER_Australia_decile,IER_Australia_percentile,IER_State_Rank,IER_State_decile,IER_State_percentile,IER_MinScoreForSA1_inArea,IER_MaxScoreForSA1_inArea,IER_Usual Resident Population without an SA1 level score,IEO_score,IEO_Australia_rank,IEO_Australia_decile,IEO_Australia_percentile,IEO_State_Rank,IEO_State_decile,IEO_State_percentile,IEO_MinScoreForSA1_inArea,IEO_MaxScoreForSA1_inArea,IEO_Usual Resident Population without an SA1 level score
0,502011021,502011021,Dawesville - Bouvard,8498,991.4381677,934,4,40,WA,89,4,37,926.3755424,1070.926898,0.000823723,958.6804555,809,4,35,78,4,32,888.7284177,1037.400416,0.000823723,1044.793424,1729,8,74,159,7,66,957.51776,1113.559124,0.000823723,918.71154496,478,3,21,60,3,25,863.72493538,989.40721799,0.0008237232
1,502011022,502011022,Falcon - Wannanup,9664,986.8323029,870,4,37,WA,81,4,34,857.432151,1045.046934,0,958.5664415,807,4,35,77,4,32,844.0787891,1027.738217,0,1016.483477,1369,6,59,112,5,46,885.3637643,1114.765079,0,931.24324043,619,3,27,77,4,32,855.16255187,996.02990438,0
2,502011023,502011023,Greenfields,9869,889.6605079,194,1,9,WA,14,1,6,771.4701451,1066.751782,0.055426082,868.2272487,130,1,6,12,1,5,782.6127913,1038.490892,0.055426082,954.0597136,568,3,25,39,2,16,851.0291825,1138.032178,0.055426082,841.55596794,34,1,2,5,1,3,765.16136954,971.73499167,0.0554260817
3,502011024,502011024,Halls Head - Erskine,19905,997.1765162,1009,5,43,WA,98,5,41,856.1447974,1081.27438,0.019241397,970.4788982,920,4,40,94,4,39,838.4514993,1073.089855,0.019241397,1031.325646,1569,7,67,140,6,58,862.6080215,1110.346963,0.019241397,940.46305698,720,4,31,88,4,36,828.69584896,1023.6295015,0.0192413966
4,502011025,502011025,Mandurah,10256,858.6771824,120,1,6,WA,8,1,4,712.5354622,1060.823092,0.000877535,857.781964,91,1,4,7,1,3,754.7687068,1058.17233,0.000877535,864.1329326,96,1,5,8,1,4,745.5633931,1034.045425,0.000877535,875.62897492,135,1,6,17,1,7,803.42274757,1028.960683,0.0008775351
5,502011026,502011026,Mandurah - East,6599,965.5081405,647,3,28,WA,51,3,21,826.604203,1036.571166,0.000606152,936.3996771,571,3,25,46,2,19,815.1309688,1021.4168,0.000606152,1018.110029,1398,6,60,118,5,49,892.5239032,1121.983187,0.000606152,896.7867922,284,2,12,31,2,13,812.52223412,959.54937531,0.0006061524
6,502011027,502011027,Mandurah - North,21261,1011.311331,1173,5,50,WA,115,5,48,576.9325685,1094.873642,0,981.2362696,1016,5,44,105,5,44,578.8548698,1068.630267,0,1054.65827,1836,8,78,169,7,70,696.7010555,1153.360481,0,944.80839341,771,4,33,94,4,39,617.11283466,1008.0644647,0
7,502011028,502011028,Mandurah - South,11323,899.6946598,231,1,10,WA,19,1,8,638.4605535,1073.132834,0,886.4827758,204,1,9,21,1,9,712.1983768,1070.162874,0,950.0389109,518,3,22,35,2,15,685.7226309,1133.873217,0,875.74617832,139,1,6,18,1,8,753.62805068,982.11611105,0
8,502011029,502011029,Pinjarra,10263,954.4188116,549,3,24,WA,42,2,18,818.8579268,1086.08202,0.030595343,921.8105295,433,2,19,37,2,16,788.7983576,1047.505747,0.030595343,1025.940424,1501,7,64,134,6,55,900.4765136,1171.305247,0.030595343,872.3719338,122,1,6,16,1,7,785.2238204,981.355586,0.0305953425
9,503011030,503011030,City Beach,6805,1127.413674,2346,10,100,WA,242,10,100,1100.641959,1154.706112,0.007347539,1172.382062,2338,10,100,243,10,100,1127.40098,1198.025514,0.007347539,1152.330587,2336,10,100,242,10,100,1002.759374,1201.342034,0.007347539,1162.780105,2280,10,97,241,10,98,1136.8138343,1192.6705829,0.0073475386
