,SA2_CODE21,SA2_NAME21,homeless_2021,homeless_2016
0,502011021,Dawesville - Bouvard,7,8
1,502011022,Falcon - Wannanup,6,22
2,502011023,Greenfields,36,19
3,502011024,Halls Head - Erskine,20,19
4,502011025,Mandurah,97,84
5,502011026,Mandurah - East,9,38
6,502011027,Mandurah - North,22,23
7,502011028,Mandurah - South,39,38
8,502011029,Pinjarra,29,16
9,503011030,City Beach,11,5
10,503011031,Claremont (WA),3,9
11,503011032,Cottesloe,5,7
12,503011033,Floreat,3,0
13,503011034,Mosman Park - Peppermint Grove,6,11
14,503011035,Nedlands - Dalkeith - Crawley,25,27
15,503011036,Swanbourne - Mount Claremont,4,5
16,503021037,Kings Park (WA),0,0
17,503021038,Mount Hawthorn - Leederville,83,99
18,503021039,Mount Lawley - Inglewood,62,47
19,503021040,North Perth,9,13
20,503021042,Subiaco - Shenton Park,33,37
21,503021043,Wembley - West Leederville - Glendalough,86,49
22,504011044,Bassendean - Eden Hill - Ashfield,42,97
23,504011045,Bayswater - Embleton - Bedford,39,68
24,504011046,Maylands,54,63
25,504011047,Morley,26,78
26,504011048,Noranda,4,0
27,504021049,Chidlow,0,0
28,504021050,Glen Forrest - Darlington,7,11
29,504021051,Helena Valley - Koongamia,10,8
30,504021052,Malmalling - Reservoir,0,0
31,504021053,Mundaring,12,12
32,504021054,Swan View - Greenmount - Midvale,44,45
33,504031055,Avon Valley National Park,0,0
34,504031056,Ballajura,43,41
35,504031057,Beechboro,85,47
36,504031058,Bullsbrook,35,6
37,504031060,Gidgegannup,14,0
38,504031061,Hazelmere - Guildford,40,24
39,504031062,Lockridge - Kiara,50,37
40,504031063,Malaga,0,0
41,504031064,Melaleuca - Lexia,0,0
42,504031065,Middle Swan - Herne Hill,166,21
43,504031066,Midland - Guildford,402,77
44,504031067,Stratton - Jane Brook,10,7
45,504031068,The Vines,14,24
46,504031069,Walyunga National Park,0,0
47,504031300,Ellenbrook,13,43
48,505011070,Craigie - Beldon,14,17
49,505011071,Currambine - Kinross,11,3
