,0,1,SAL_CODE
0,Alexander Heights,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50008/download/GCP_SAL50008.xlsx,50008
1,Alfred Cove,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50010/download/GCP_SAL50010.xlsx,50010
2,Alkimos,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50011/download/GCP_SAL50011.xlsx,50011
3,Anketell,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50019/download/GCP_SAL50019.xlsx,50019
4,Applecross,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50022/download/GCP_SAL50022.xlsx,50022
5,Ardross,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50024/download/GCP_SAL50024.xlsx,50024
6,Armadale,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50026/download/GCP_SAL50026.xlsx,50026
7,Ascot,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50031/download/GCP_SAL50031.xlsx,50031
8,Ashby,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50032/download/GCP_SAL50032.xlsx,50032
9,Ashfield,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50034/download/GCP_SAL50034.xlsx,50034
10,Attadale,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50035/download/GCP_SAL50035.xlsx,50035
11,Atwell,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50036/download/GCP_SAL50036.xlsx,50036
12,Aubin Grove,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50037/download/GCP_SAL50037.xlsx,50037
13,Aveley,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50040/download/GCP_SAL50040.xlsx,50040
14,Bailup,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50050/download/GCP_SAL50050.xlsx,50050
15,Balcatta,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50053/download/GCP_SAL50053.xlsx,50053
16,Baldivis,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50054/download/GCP_SAL50054.xlsx,50054
17,Balga,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50055/download/GCP_SAL50055.xlsx,50055
18,Ballajura,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50061/download/GCP_SAL50061.xlsx,50061
19,Banjup,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50068/download/GCP_SAL50068.xlsx,50068
20,Banksia Grove,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50069/download/GCP_SAL50069.xlsx,50069
21,Baskerville,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50077/download/GCP_SAL50077.xlsx,50077
22,Bassendean,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50078/download/GCP_SAL50078.xlsx,50078
23,Bateman,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50079/download/GCP_SAL50079.xlsx,50079
24,Bayswater,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50083/download/GCP_SAL50083.xlsx,50083
25,Beaconsfield,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50086/download/GCP_SAL50086.xlsx,50086
26,Beckenham,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50090/download/GCP_SAL50090.xlsx,50090
27,Bedford,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50091/download/GCP_SAL50091.xlsx,50091
28,Bedfordale,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50092/download/GCP_SAL50092.xlsx,50092
29,Beechboro,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50093/download/GCP_SAL50093.xlsx,50093
30,Beechina,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50094/download/GCP_SAL50094.xlsx,50094
31,Beeliar,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50098/download/GCP_SAL50098.xlsx,50098
32,Beldon,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50102/download/GCP_SAL50102.xlsx,50102
33,Belhus,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50103/download/GCP_SAL50103.xlsx,50103
34,Bellevue,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50104/download/GCP_SAL50104.xlsx,50104
35,Belmont,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50105/download/GCP_SAL50105.xlsx,50105
36,Bennett Springs,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50110/download/GCP_SAL50110.xlsx,50110
37,Bentley,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50111/download/GCP_SAL50111.xlsx,50111
38,Bertram,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50115/download/GCP_SAL50115.xlsx,50115
39,Bibra Lake,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50117/download/GCP_SAL50117.xlsx,50117
40,Bickley,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50118/download/GCP_SAL50118.xlsx,50118
41,Bicton,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50119/download/GCP_SAL50119.xlsx,50119
42,Booragoon,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50148/download/GCP_SAL50148.xlsx,50148
